pmid,url
25725010,https://pubmed.ncbi.nlm.nih.gov/25725010/
32782358,https://pubmed.ncbi.nlm.nih.gov/32782358/
33194810,https://pubmed.ncbi.nlm.nih.gov/33194810/
32748035,https://pubmed.ncbi.nlm.nih.gov/32748035/
26052667,https://pubmed.ncbi.nlm.nih.gov/26052667/
23630436,https://pubmed.ncbi.nlm.nih.gov/23630436/
32910509,https://pubmed.ncbi.nlm.nih.gov/32910509/
30092029,https://pubmed.ncbi.nlm.nih.gov/30092029/
26469784,https://pubmed.ncbi.nlm.nih.gov/26469784/
10208929,https://pubmed.ncbi.nlm.nih.gov/10208929/
24829280,https://pubmed.ncbi.nlm.nih.gov/24829280/
19523154,https://pubmed.ncbi.nlm.nih.gov/19523154/
24074594,https://pubmed.ncbi.nlm.nih.gov/24074594/
19272179,https://pubmed.ncbi.nlm.nih.gov/19272179/
30485414,https://pubmed.ncbi.nlm.nih.gov/30485414/
2564270,https://pubmed.ncbi.nlm.nih.gov/2564270/
27885488,https://pubmed.ncbi.nlm.nih.gov/27885488/
21855634,https://pubmed.ncbi.nlm.nih.gov/21855634/
37149044,https://pubmed.ncbi.nlm.nih.gov/37149044/
23389466,https://pubmed.ncbi.nlm.nih.gov/23389466/
34408324,https://pubmed.ncbi.nlm.nih.gov/34408324/
28471403,https://pubmed.ncbi.nlm.nih.gov/28471403/
22457813,https://pubmed.ncbi.nlm.nih.gov/22457813/
25960372,https://pubmed.ncbi.nlm.nih.gov/25960372/
38273307,https://pubmed.ncbi.nlm.nih.gov/38273307/
28053106,https://pubmed.ncbi.nlm.nih.gov/28053106/
34036904,https://pubmed.ncbi.nlm.nih.gov/34036904/
38003488,https://pubmed.ncbi.nlm.nih.gov/38003488/
34452433,https://pubmed.ncbi.nlm.nih.gov/34452433/
28077444,https://pubmed.ncbi.nlm.nih.gov/28077444/
27381061,https://pubmed.ncbi.nlm.nih.gov/27381061/
31581580,https://pubmed.ncbi.nlm.nih.gov/31581580/
29470620,https://pubmed.ncbi.nlm.nih.gov/29470620/
